지점,지점명,일시,평균기온(°C)
112,인천,2022-09-27,20.4
112,인천,2022-09-28,20.1
112,인천,2022-09-29,19.7
112,인천,2022-09-30,19.8
112,인천,2022-10-01,19.6
112,인천,2022-10-02,20
112,인천,2022-10-03,21.9
112,인천,2022-10-04,17
112,인천,2022-10-05,15.5
112,인천,2022-10-06,15.5
112,인천,2022-10-07,13.6
112,인천,2022-10-08,16.2
112,인천,2022-10-09,12.9
112,인천,2022-10-10,9.8
112,인천,2022-10-11,11.1
112,인천,2022-10-12,13.7
112,인천,2022-10-13,16.6
112,인천,2022-10-14,16.6
112,인천,2022-10-15,17.2
112,인천,2022-10-16,16.3
112,인천,2022-10-17,10.9
112,인천,2022-10-18,9.6
112,인천,2022-10-19,11.5
112,인천,2022-10-20,13.3
112,인천,2022-10-21,14
112,인천,2022-10-22,15
112,인천,2022-10-23,13.2
112,인천,2022-10-24,10.1
112,인천,2022-10-25,11
112,인천,2022-10-26,12.8
112,인천,2022-10-27,13
112,인천,2022-10-28,12.8
112,인천,2022-10-29,14.7
112,인천,2022-10-30,14.9
112,인천,2022-10-31,14.8
112,인천,2022-11-01,13.2
112,인천,2022-11-02,10.8
112,인천,2022-11-03,9.4
112,인천,2022-11-04,5
112,인천,2022-11-05,8
112,인천,2022-11-06,10.4
112,인천,2022-11-07,11.7
112,인천,2022-11-08,12.6
112,인천,2022-11-09,11.4
112,인천,2022-11-10,13
112,인천,2022-11-11,15.5
112,인천,2022-11-12,16.3
112,인천,2022-11-13,9.5
112,인천,2022-11-14,9.3
112,인천,2022-11-15,8.6
112,인천,2022-11-16,9.4
112,인천,2022-11-17,11.1
112,인천,2022-11-18,11.5
112,인천,2022-11-19,13.5
112,인천,2022-11-20,13.6
112,인천,2022-11-21,12.3
112,인천,2022-11-22,10.2
112,인천,2022-11-23,10.3
112,인천,2022-11-24,10
112,인천,2022-11-25,12.4
112,인천,2022-11-26,6.5
112,인천,2022-11-27,6
112,인천,2022-11-28,13
112,인천,2022-11-29,5.8
112,인천,2022-11-30,-5.6
112,인천,2022-12-01,-5.3
112,인천,2022-12-02,-2.3
112,인천,2022-12-03,2.7
112,인천,2022-12-04,-3.8
112,인천,2022-12-05,-3.2
112,인천,2022-12-06,1.5
112,인천,2022-12-07,5.2
112,인천,2022-12-08,4.5
112,인천,2022-12-09,5.3
112,인천,2022-12-10,2.7
112,인천,2022-12-11,1.7
112,인천,2022-12-12,2.5
112,인천,2022-12-13,0.2
112,인천,2022-12-14,-8.2
112,인천,2022-12-15,-4.3
112,인천,2022-12-16,-6.9
112,인천,2022-12-17,-7.3
112,인천,2022-12-18,-9.7
112,인천,2022-12-19,-7.1
112,인천,2022-12-20,-2.5
112,인천,2022-12-21,0.9
112,인천,2022-12-22,-7.7
112,인천,2022-12-23,-11.3
112,인천,2022-12-24,-9
112,인천,2022-12-25,-4.9
112,인천,2022-12-26,-3.7
112,인천,2022-12-27,-1.7
112,인천,2022-12-28,-3.2
112,인천,2022-12-29,-2.8
112,인천,2022-12-30,-2.5
112,인천,2022-12-31,0.2
112,인천,2023-01-01,-0.6
112,인천,2023-01-02,-4.6
112,인천,2023-01-03,-4.6
112,인천,2023-01-04,-1.5
112,인천,2023-01-05,-1.6
112,인천,2023-01-06,1.7
112,인천,2023-01-07,1.5
112,인천,2023-01-08,1.9
112,인천,2023-01-09,2.1
112,인천,2023-01-10,0.5
112,인천,2023-01-11,1.9
112,인천,2023-01-12,6.1
112,인천,2023-01-13,7.3
112,인천,2023-01-14,5.4
112,인천,2023-01-15,-1.6
112,인천,2023-01-16,-5.5
112,인천,2023-01-17,-3.5
112,인천,2023-01-18,-2.6
112,인천,2023-01-19,0.6
112,인천,2023-01-20,-3.3
112,인천,2023-01-21,-4.3
112,인천,2023-01-22,0
112,인천,2023-01-23,-1.4
112,인천,2023-01-24,-14.6
112,인천,2023-01-25,-11.3
112,인천,2023-01-26,-5.4
112,인천,2023-01-27,-7
112,인천,2023-01-28,-5.5
112,인천,2023-01-29,-1.5
112,인천,2023-01-30,-0.6
112,인천,2023-01-31,2.7
112,인천,2023-02-01,-0.4
112,인천,2023-02-02,-3.1
112,인천,2023-02-03,-2.2
112,인천,2023-02-04,-0.2
112,인천,2023-02-05,1.8
112,인천,2023-02-06,2.7
112,인천,2023-02-07,2.2
112,인천,2023-02-08,1.5
112,인천,2023-02-09,3.9
112,인천,2023-02-10,3.3
112,인천,2023-02-11,1.6
112,인천,2023-02-12,3
112,인천,2023-02-13,4.4
112,인천,2023-02-14,0.4
112,인천,2023-02-15,2.5
112,인천,2023-02-16,1.7
112,인천,2023-02-17,3.1
112,인천,2023-02-18,3.9
112,인천,2023-02-19,2.6
112,인천,2023-02-20,-0.6
112,인천,2023-02-21,-2
112,인천,2023-02-22,0
112,인천,2023-02-23,2.3
112,인천,2023-02-24,2.6
112,인천,2023-02-25,0.1
112,인천,2023-02-26,1.8
112,인천,2023-02-27,3
112,인천,2023-02-28,4
112,인천,2023-03-01,5.2
112,인천,2023-03-02,1.9
112,인천,2023-03-03,4.3
112,인천,2023-03-04,6.5
112,인천,2023-03-05,6.7
112,인천,2023-03-06,7.9
112,인천,2023-03-07,10
112,인천,2023-03-08,12.3
112,인천,2023-03-09,7.4
112,인천,2023-03-10,10.7
112,인천,2023-03-11,13.5
112,인천,2023-03-12,4.5
112,인천,2023-03-13,2.3
112,인천,2023-03-14,8
112,인천,2023-03-15,7.9
112,인천,2023-03-16,4.3
112,인천,2023-03-17,6
112,인천,2023-03-18,6.7
112,인천,2023-03-19,4.7
112,인천,2023-03-20,6.7
112,인천,2023-03-21,10.7
112,인천,2023-03-22,14.1
112,인천,2023-03-23,14.4
112,인천,2023-03-24,9.7
112,인천,2023-03-25,9.6
112,인천,2023-03-26,8.1
112,인천,2023-03-27,6.2
112,인천,2023-03-28,7.7
112,인천,2023-03-29,9.6
112,인천,2023-03-30,11.1
112,인천,2023-03-31,11.5
112,인천,2023-04-01,15
112,인천,2023-04-02,17.9
112,인천,2023-04-03,18.8
112,인천,2023-04-04,17
112,인천,2023-04-05,10.6
112,인천,2023-04-06,7.7
112,인천,2023-04-07,8
112,인천,2023-04-08,8.1
112,인천,2023-04-09,9.4
112,인천,2023-04-10,12.4
112,인천,2023-04-11,12
112,인천,2023-04-12,9.4
112,인천,2023-04-13,11.3
112,인천,2023-04-14,14.8
112,인천,2023-04-15,11.3
112,인천,2023-04-16,9.7
112,인천,2023-04-17,12
112,인천,2023-04-18,13.7
112,인천,2023-04-19,17.5
112,인천,2023-04-20,13.2
112,인천,2023-04-21,15.1
112,인천,2023-04-22,16.7
112,인천,2023-04-23,15.8
112,인천,2023-04-24,14.4
112,인천,2023-04-25,10.6
112,인천,2023-04-26,9.2
112,인천,2023-04-27,10.8
112,인천,2023-04-28,14.5
112,인천,2023-04-29,12.1
112,인천,2023-04-30,11.5
112,인천,2023-05-01,13.1
112,인천,2023-05-02,16
112,인천,2023-05-03,18.9
112,인천,2023-05-04,20.2
112,인천,2023-05-05,17.6
112,인천,2023-05-06,12.9
112,인천,2023-05-07,14.3
112,인천,2023-05-08,14.1
112,인천,2023-05-09,14.1
112,인천,2023-05-10,16.6
112,인천,2023-05-11,17.6
112,인천,2023-05-12,16.7
112,인천,2023-05-13,15.9
112,인천,2023-05-14,16.7
112,인천,2023-05-15,19.4
112,인천,2023-05-16,21.3
112,인천,2023-05-17,21.1
112,인천,2023-05-18,20.6
112,인천,2023-05-19,21.2
112,인천,2023-05-20,18.3
112,인천,2023-05-21,15.2
112,인천,2023-05-22,18.2
112,인천,2023-05-23,19.2
112,인천,2023-05-24,18.4
112,인천,2023-05-25,19.5
112,인천,2023-05-26,20.1
112,인천,2023-05-27,19
112,인천,2023-05-28,18.1
112,인천,2023-05-29,21
112,인천,2023-05-30,22.3
112,인천,2023-05-31,21
112,인천,2023-06-01,21.1
112,인천,2023-06-02,18.6
112,인천,2023-06-03,20.6
112,인천,2023-06-04,19.5
112,인천,2023-06-05,19.4
112,인천,2023-06-06,19.2
112,인천,2023-06-07,19.6
112,인천,2023-06-08,19.2
112,인천,2023-06-09,21
112,인천,2023-06-10,21.8
112,인천,2023-06-11,21.6
112,인천,2023-06-12,20.2
112,인천,2023-06-13,20.4
112,인천,2023-06-14,20.5
112,인천,2023-06-15,20.8
112,인천,2023-06-16,21.7
112,인천,2023-06-17,22.2
112,인천,2023-06-18,23.1
112,인천,2023-06-19,25.5
112,인천,2023-06-20,22.9
112,인천,2023-06-21,20.4
112,인천,2023-06-22,21.5
112,인천,2023-06-23,23.2
112,인천,2023-06-24,24.6
112,인천,2023-06-25,26.7
112,인천,2023-06-26,23.2
112,인천,2023-06-27,23.6
112,인천,2023-06-28,24.2
112,인천,2023-06-29,23.2
112,인천,2023-06-30,23.9
